CODIGO,HIJO,NOMBRE,DESCRPCIÓN CORTA,DESCRIPCIÓN LARGA,TAMAÑO,SUBCATEGORÍA,MARCA/FABRICANTE,PRECIO,DESCUENTO %,IMAGEN,ATRIBUTO 1 (ej: color),ATRIBUTO 2 (ej: talla),DESTACADO
colchon001,,AMATISTA CUARZO,"Colchon doble colchoneta super pillow top, tela tejido de punto con nano particulas de Amatista, que genera energia positiva",,INDIVIDUAL|MATRIMONIAL|QUEEN|KING SIZE,Colchones,WENDY,,,CUARZO,,,
colchon001-IND,colchon001,CUARZO INDIVIDIAL,,"Grosor 38 cms, 312 resortes de hilo continuo infiniflex en forma de ""Z""",INDIVIDUAL,Colchones,WENDY,3899,,CUARZO,,,SI
colchon001-MAT,colchon001,CUARZO MATRIMONIAL,,"Grosor 38 cms, 442 resortes de hilo continuo infiniflex en forma de ""Z""",MATRIMONIAL,Colchones,WENDY,5199,,CUARZO,,, 
colchon001-QUEEN,colchon001,CUARZO QUEEN,,"Grosor 38 cms, 494 resortes de hilo continuo infiniflex en forma de ""Z""",QUEEN,Colchones,WENDY,5999,,CUARZO,,, 
colchon001-KS,colchon001,CUARZO KING SIZE,,"Grosor 38 cms, 650 resortes de hilo continuo infiniflex en forma de ""Z""",KING SIZE,Colchones,WENDY,7665, ,CUARZO,,,
colchon002,,FORTE QUIROPEDIC,"Colchón a base de laminas de microcel aglutinado de alta densidad, soporte extra firme",,INDIVIDUAL|MATRIMONIAL|QUEEN|KING SIZE,Colchones,WENDY,,,FORTE,,,
colchon002-IND,colchon002,FORTE INDIVIDUAL,,"Grosor 27 cms, sin resortes, telas tejido de punto en algodón anti acaros.",INDIVIDUAL,Colchones,WENDY,3799, ,FORTE, ,,SI
colchon002-MAT,colchon002,FORTE MATRIMONIAL,,texto ejemplo,MATRIMONIAL,Colchones,WENDY,4690,,FORTE, ,, 
colchon002-QUEEN,colchon002,FORTE QUEEN,,texto ejemplo,QUEEN,Colchones,WENDY,5299,,FORTE, ,,
colchon002-KS,colchon002,FORTE KING SIZE,,texto ejemplo,KING SIZE,Colchones,WENDY,6690, ,FORTE, ,, 
colchon003,,VELVET AIR FLEX,"Colchon de resortes independientes embolsados, tela tejido de punto hipo alergenica anti acaros, colchoneta fill ",,INDIVIDUAL|MATRIMONIAL|QUEEN|KING SIZE,Colchones,WENDY,,,VELVET, ,,
colchon003-IND,colchon003,VELVET INDIVIDUAL,,"Grosor 30 cm, 464 resortes independientes embolsados, soporte suave",INDIVIDUAL,Colchones,WENDY,3599,,VELVET,,,SI
colchon003-MAT,colchon003,VELVET MATRIMONIAL,,"Grosor 30 cm, 638 resortes independientes embolsados, soporte suave",MATRIMONIAL,Colchones,WENDY,4399,,VELVET,,, 
